ID_Venda;Data_Venda;Produto;Categoria;Preco_Unitario;Quantidade;Cliente;Região;Forma_Pagamento
32;18/10/2024;Bicicleta Infantil;Brinquedos;625.67;1;Davi Luiz Sousa;Sudeste;Cartão de Crédito
33;25/12/2024;Tênis;Vestuário;125.12;1;Eloah Vasconcelos;Nordeste;Cartão de Débito
34;18/05/2024;Estante;Móveis;1758.52;2;Srta. Bárbara Albuquerque;Sul;Cartão de Débito
35;16/03/2024;Estante;Móveis;1094.54;1;Brenda Campos;Nordeste;Cartão de Débito
36;15/06/2023;Camiseta;Vestuário;85.51;4;Vicente Pacheco;Norte;Dinheiro
37;07/02/2023;Ar-condicionado;Eletrodomésticos;2341.93;2;Srta. Gabriela Campos;Norte;Dinheiro
38;13/02/2025;Skate;Esporte;634.94;4;Dom Sá;Sul;Boleto
39;14/12/2024;Estante;Móveis;848.8;4;Davi Luiz Silva;Centro-Oeste;Cartão de Débito
40;12/04/2025;Jogo de Tabuleiro;Brinquedos;128.67;2;Enrico Rocha;Sudeste;Cartão de Crédito
41;21/01/2023;Raquete de Tênis;Esporte;831.22;5;Maria Vitória Sampaio;Sul;Boleto
42;09/03/2024;Boneca;Brinquedos;97.0;1;Ana Aragão;Sul;Dinheiro
43;22/09/2024;Ar-condicionado;Eletrodomésticos;1518.04;2;Bruno Peixoto;Sul;Dinheiro
44;12/08/2024;Bola de Futebol;Esporte;98.51;1;Maria Guerra;Sul;Cartão de Crédito
45;08/02/2023;Skate;Esporte;480.16;4;Carolina da Rosa;Norte;Pix
46;16/01/2023;Camiseta;Vestuário;141.86;5;Lara Costa;Sudeste;Pix
47;31/07/2024;Boneca;Brinquedos;83.84;3;Maria Isis da Mata;Sul;Cartão de Débito
48;22/03/2024;Fogão;Eletrodomésticos;2955.79;3;Liz Aragão;Norte;Cartão de Débito
49;09/02/2024;Boneca;Brinquedos;32.49;4;Maria Cecília da Cruz;Centro-Oeste;Boleto
50;30/12/2023;Fogão;Eletrodomésticos;2462.09;2;Hadassa Guerra;Nordeste;Cartão de Débito
51;05/05/2024;Smartphone;Eletrônicos;1407.21;4;Sophie Ramos;Norte;Cartão de Débito
52;29/01/2024;Cadeira;Móveis;387.72;1;Bento das Neves;Sudeste;Cartão de Crédito
53;19/08/2023;Calça Jeans;Vestuário;72.41;4;Henrique Gonçalves;Norte;Cartão de Débito
54;21/10/2024;Carrinho;Brinquedos;68.36;2;Melissa Pastor;Sul;Cartão de Crédito
55;09/04/2024;Casaco;Vestuário;129.5;4;Bianca Gonçalves;Norte;Cartão de Crédito
56;03/08/2024;Liquidificador;Eletrodomésticos;198.05;5;João Guilherme da Paz;Nordeste;Cartão de Débito
57;20/06/2024;Fogão;Eletrodomésticos;2484.51;4;Miguel Rios;Sudeste;Cartão de Débito
58;22/04/2025;Máquina de Lavar;Eletrodomésticos;2366.84;5;Nicolas Fernandes;Nordeste;Dinheiro
59;17/11/2024;Bicicleta Infantil;Brinquedos;508.48;1;Luara Novais;Nordeste;Cartão de Débito
60;04/02/2024;Jogo de Tabuleiro;Brinquedos;99.24;5;Nicolas Cunha;Norte;Pix
61;09/03/2024;Mesa;Móveis;1251.63;2;Maria Julia Aragão;Sul;Pix
62;16/03/2025;Liquidificador;Eletrodomésticos;453.0;3;Lavínia Porto;Centro-Oeste;Cartão de Débito
63;04/07/2023;Bicicleta Infantil;Brinquedos;188.17;2;Luiz Otávio da Luz;Sul;Pix
64;13/10/2024;Vestido;Vestuário;81.92;2;Levi Vieira;Centro-Oeste;Boleto
65;19/02/2023;Carrinho;Brinquedos;66.05;1;Isabela Montenegro;Nordeste;Cartão de Débito
66;23/09/2024;Fogão;Eletrodomésticos;1483.61;2;Matheus Barros;Centro-Oeste;Cartão de Débito
67;27/06/2023;Mochila de Camping;Esporte;279.5;2;Davi Luiz Silveira;Nordeste;Pix
68;22/01/2024;Máquina de Lavar;Eletrodomésticos;2869.56;5;Luna Duarte;Norte;Boleto
69;05/12/2024;Impressora;Eletrônicos;373.72;4;Milena Araújo;Nordeste;Cartão de Crédito
70;17/02/2023;Camiseta;Vestuário;96.52;3;Ryan Aragão;Nordeste;Dinheiro
71;03/01/2025;Monitor;Eletrônicos;1135.74;1;Davi Luiz Gonçalves;Sudeste;Pix
72;16/02/2025;Boné;Vestuário;19.38;5;Valentina Vargas;Sul;Dinheiro
73;11/10/2024;Boneca;Brinquedos;85.96;5;Alana Vasconcelos;Sudeste;Cartão de Crédito
74;30/06/2024;Estante;Móveis;1724.52;2;Isabela Almeida;Norte;Boleto
75;13/04/2023;Mesa;Móveis;531.26;3;Ana Júlia Abreu;Centro-Oeste;Cartão de Crédito
76;23/03/2023;Boné;Vestuário;19.53;1;Sr. Bruno da Mota;Sudeste;Dinheiro
77;15/04/2024;Monitor;Eletrônicos;898.77;3;Sr. João Lucas Duarte;Centro-Oeste;Pix
78;03/06/2025;Bicicleta Infantil;Brinquedos;174.59;1;Henrique Fogaça;Sudeste;Pix
79;27/01/2023;Raquete de Tênis;Esporte;1843.65;5;Vinícius Nascimento;Centro-Oeste;Pix
80;09/10/2023;Mochila de Camping;Esporte;203.6;4;Ana Luiza Caldeira;Sul;Pix
81;31/03/2024;Casaco;Vestuário;201.68;2;Sophie Brito;Sul;Dinheiro
82;26/12/2024;Mochila de Camping;Esporte;209.07;4;Cecília da Paz;Sul;Dinheiro
83;25/10/2024;Geladeira;Eletrodomésticos;3933.07;3;Luna Ferreira;Sul;Pix
84;25/03/2023;Jogo de Tabuleiro;Brinquedos;138.77;3;Antônio Santos;Sul;Cartão de Crédito
85;12/04/2025;Cadeira;Móveis;379.54;3;Mateus Rezende;Centro-Oeste;Boleto
86;14/01/2023;Cômoda;Móveis;801.0;1;Luísa Pinto;Centro-Oeste;Boleto
87;01/08/2024;Monitor;Eletrônicos;1941.33;1;Ana Julia Aragão;Norte;Cartão de Débito
88;28/03/2023;Ar-condicionado;Eletrodomésticos;3038.69;2;Benício Pastor;Sul;Boleto
89;25/06/2023;Carrinho;Brinquedos;29.69;1;Stella Andrade;Sudeste;Cartão de Débito
90;12/12/2023;Tablet;Eletrônicos;927.68;5;Benicio Souza;Sul;Pix
91;31/03/2025;Cômoda;Móveis;1293.56;2;Luana Borges;Nordeste;Cartão de Débito
92;23/03/2023;Casaco;Vestuário;205.83;3;Dr. Diego Sousa;Nordeste;Cartão de Crédito
93;26/05/2024;Mesa;Móveis;737.55;2;Ester Sales;Nordeste;Cartão de Débito
94;21/01/2023;Guarda-roupa;Móveis;1114.85;3;Cecilia Silveira;Sudeste;Pix
95;28/06/2023;Impressora;Eletrônicos;730.14;2;Yan Azevedo;Sul;Boleto
96;28/04/2023;Geladeira;Eletrodomésticos;2119.54;2;João Miguel Mendes;Norte;Pix
97;13/01/2025;Bicicleta Infantil;Brinquedos;612.09;4;Maria Fernanda Mendonça;Nordeste;Boleto
98;28/01/2024;Geladeira;Eletrodomésticos;2811.47;5;Sr. Lucca da Rocha;Sudeste;Cartão de Crédito
99;23/11/2024;Boné;Vestuário;17.08;5;Sr. Benício da Conceição;Norte;Cartão de Débito
100;04/03/2023;Sofá;Móveis;3035.71;5;Mateus das Neves;Sul;Cartão de Crédito
101;23/05/2023;Estante;Móveis;1274.51;5;Maria Flor Ferreira;Centro-Oeste;Cartão de Crédito
102;14/09/2024;Tênis;Vestuário;265.61;1;Dra. Maria Clara Cassiano;Norte;Cartão de Débito
103;19/04/2025;Máquina de Lavar;Eletrodomésticos;1542.93;2;Levi Novaes;Sudeste;Dinheiro
104;01/07/2024;Calça Jeans;Vestuário;66.97;3;Zoe Lima;Norte;Boleto
105;06/04/2025;Ar-condicionado;Eletrodomésticos;2357.68;5;Benicio Novais;Nordeste;Boleto
106;01/11/2023;Mesa;Móveis;549.31;2;Heloísa da Mata;Norte;Cartão de Crédito
107;13/04/2025;Sofá;Móveis;3355.23;3;Emanuel Monteiro;Norte;Cartão de Débito
108;26/07/2023;Skate;Esporte;554.95;4;Ana Julia Cassiano;Norte;Pix
109;23/08/2023;Mochila de Camping;Esporte;335.55;5;Sra. Kamilly Vieira;Norte;Cartão de Débito
110;03/01/2025;Calça Jeans;Vestuário;136.21;2;Valentim Ramos;Norte;Cartão de Débito
111;06/05/2023;Ar-condicionado;Eletrodomésticos;1971.19;4;Alícia Cassiano;Centro-Oeste;Dinheiro
112;08/04/2024;Fogão;Eletrodomésticos;2699.0;2;Ana Clara Barros;Sudeste;Cartão de Crédito
113;01/02/2023;Fone de Ouvido;Eletrônicos;250.99;2;Catarina Pacheco;Norte;Cartão de Débito
114;25/01/2025;Mochila de Camping;Esporte;326.0;5;Isis Moura;Centro-Oeste;Cartão de Crédito
115;07/06/2025;Fogão;Eletrodomésticos;1589.37;1;Marcos Vinicius Cavalcanti;Nordeste;Cartão de Débito
116;08/10/2024;Geladeira;Eletrodomésticos;2513.51;2;Rebeca Melo;Norte;Cartão de Crédito
117;17/05/2024;Calça Jeans;Vestuário;116.37;1;João Gomes;Nordeste;Dinheiro
118;24/06/2023;Ar-condicionado;Eletrodomésticos;2652.36;3;Luiz Miguel Rodrigues;Nordeste;Pix
119;21/01/2023;Jogo de Tabuleiro;Brinquedos;180.2;3;Sabrina Pastor;Centro-Oeste;Dinheiro
120;17/04/2025;Mochila de Camping;Esporte;160.34;5;Maria Isis Casa Grande;Nordeste;Cartão de Débito
121;27/07/2023;Máquina de Lavar;Eletrodomésticos;1188.11;1;Asafe da Costa;Norte;Cartão de Crédito
122;05/11/2023;Vestido;Vestuário;129.72;3;Sofia Cavalcanti;Centro-Oeste;Pix
123;08/12/2023;Monitor;Eletrônicos;1061.14;5;Antony Fogaça;Sudeste;Boleto
124;24/10/2023;Notebook;Eletrônicos;2280.69;2;Ayla da Costa;Sudeste;Pix
125;18/05/2023;Guarda-roupa;Móveis;1959.19;4;Ravi Ribeiro;Sudeste;Dinheiro
126;29/01/2023;Smartphone;Eletrônicos;1272.04;1;Gael Henrique Mendonça;Centro-Oeste;Boleto
127;13/08/2023;Bicicleta Infantil;Brinquedos;393.01;3;Sr. Juan Porto;Norte;Cartão de Crédito
128;08/01/2023;Bicicleta Infantil;Brinquedos;530.4;2;Aurora Martins;Nordeste;Cartão de Crédito
129;25/04/2024;Boneca;Brinquedos;75.28;5;Isadora da Costa;Sul;Boleto
130;25/01/2023;Boneca;Brinquedos;86.67;5;Gabrielly Ribeiro;Centro-Oeste;Dinheiro
131;07/02/2023;Guarda-roupa;Móveis;1228.51;4;Henrique Costa;Centro-Oeste;Cartão de Crédito
132;31/01/2023;Vestido;Vestuário;95.24;3;Maysa Costa;Nordeste;Boleto
133;22/09/2024;Casaco;Vestuário;84.1;2;Sr. Luiz Gustavo Cardoso;Sul;Dinheiro
134;08/09/2023;Cômoda;Móveis;1412.13;5;Alexandre Moraes;Norte;Cartão de Crédito
135;07/05/2023;Liquidificador;Eletrodomésticos;194.11;5;Davi Sá;Norte;Cartão de Crédito
136;20/09/2023;Bola de Futebol;Esporte;84.26;4;Mateus Cirino;Sudeste;Boleto
137;03/10/2023;Monitor;Eletrônicos;645.95;1;Luiz Fernando Correia;Norte;Cartão de Débito
138;04/04/2023;Raquete de Tênis;Esporte;581.17;3;Bento Correia;Centro-Oeste;Boleto
139;13/01/2024;Impressora;Eletrônicos;607.62;3;Arthur Gabriel Novais;Sudeste;Boleto
140;16/12/2023;Guarda-roupa;Móveis;927.58;3;Alícia Martins;Sul;Boleto
141;25/06/2023;Skate;Esporte;753.18;4;Natália Silveira;Sudeste;Boleto
142;22/08/2024;Jogo de Tabuleiro;Brinquedos;130.14;2;Alana Garcia;Sul;Pix
143;22/08/2024;Monitor;Eletrônicos;1309.85;4;Luana da Rocha;Sudeste;Cartão de Crédito
144;24/05/2023;Carrinho;Brinquedos;45.93;1;Dra. Luara Andrade;Sudeste;Dinheiro
145;04/02/2025;Fogão;Eletrodomésticos;2588.96;5;Sr. Fernando Caldeira;Norte;Pix
146;31/03/2023;Máquina de Lavar;Eletrodomésticos;1917.56;5;Josué Sá;Sul;Boleto
147;20/05/2024;Smartphone;Eletrônicos;1439.31;3;Henry Sousa;Sudeste;Pix
148;03/10/2024;Bola de Futebol;Esporte;138.75;5;Asafe Rocha;Sul;Pix
149;11/01/2024;Vestido;Vestuário;75.2;5;Gabriela Rodrigues;Norte;Cartão de Débito
150;11/03/2023;Vestido;Vestuário;70.48;2;Ana Julia Pastor;Centro-Oeste;Pix
151;25/11/2023;Estante;Móveis;1070.32;4;Srta. Laura Leão;Nordeste;Cartão de Débito
152;16/05/2024;Tênis;Vestuário;69.65;5;Camila Moura;Sudeste;Dinheiro
153;02/07/2024;Carrinho;Brinquedos;77.76;1;Ana Luiza Rezende;Norte;Cartão de Débito
154;09/07/2023;Notebook;Eletrônicos;1657.93;4;Murilo Novaes;Centro-Oeste;Boleto
155;03/11/2023;Mesa;Móveis;1310.07;3;Ryan Almeida;Sul;Boleto
156;07/10/2023;Ar-condicionado;Eletrodomésticos;3702.27;1;Raquel Nascimento;Nordeste;Cartão de Débito
157;24/03/2024;Raquete de Tênis;Esporte;1581.16;3;Zoe Nascimento;Nordeste;Boleto
158;10/04/2025;Cadeira;Móveis;298.23;1;Raul Brito;Norte;Cartão de Crédito
159;10/04/2024;Mesa;Móveis;775.72;5;Caleb Nogueira;Norte;Boleto
160;31/03/2024;Liquidificador;Eletrodomésticos;292.12;2;José Miguel Moreira;Norte;Boleto
161;05/11/2023;Impressora;Eletrônicos;1114.46;3;Ian Mendonça;Sul;Cartão de Débito
162;10/06/2023;Fone de Ouvido;Eletrônicos;388.14;2;Letícia Sales;Sudeste;Cartão de Crédito
163;12/05/2023;Skate;Esporte;719.34;5;Dom Brito;Nordeste;Pix
164;08/01/2025;Raquete de Tênis;Esporte;1366.49;3;Samuel Pinto;Norte;Cartão de Débito
165;08/08/2024;Boneca;Brinquedos;63.85;3;Zoe Ramos;Sudeste;Dinheiro
166;24/07/2023;Sofá;Móveis;2800.82;3;Isis Pereira;Sudeste;Boleto
167;12/08/2024;Tablet;Eletrônicos;1665.36;2;Sra. Raquel Mendes;Centro-Oeste;Cartão de Crédito
168;11/06/2024;Mesa;Móveis;912.21;4;Rafael Teixeira;Centro-Oeste;Pix
169;25/06/2023;Sofá;Móveis;3394.79;1;Manuela Vieira;Centro-Oeste;Boleto
170;01/07/2024;Tablet;Eletrônicos;1392.52;5;Carolina Silveira;Nordeste;Cartão de Débito
171;23/01/2025;Vestido;Vestuário;128.06;3;Maria Liz Souza;Centro-Oeste;Cartão de Crédito
172;26/10/2024;Monitor;Eletrônicos;1198.64;1;Sofia Cassiano;Sul;Cartão de Débito
173;23/04/2023;Liquidificador;Eletrodomésticos;443.65;5;Benício Sousa;Norte;Cartão de Crédito
174;24/05/2024;Liquidificador;Eletrodomésticos;477.46;4;Joana da Cruz;Centro-Oeste;Pix
175;06/08/2024;Máquina de Lavar;Eletrodomésticos;2525.35;1;Luara Nunes;Sudeste;Dinheiro
176;05/05/2024;Máquina de Lavar;Eletrodomésticos;1519.21;1;Evelyn Azevedo;Centro-Oeste;Cartão de Débito
177;22/10/2024;Calça Jeans;Vestuário;122.22;5;Dr. Igor Ramos;Sul;Cartão de Débito
178;10/04/2024;Cômoda;Móveis;1055.48;5;Isabella Câmara;Sudeste;Dinheiro
179;03/11/2023;Camiseta;Vestuário;128.23;3;Anna Liz Camargo;Norte;Cartão de Débito
180;13/02/2023;Vestido;Vestuário;110.22;1;Luiz Fernando Azevedo;Nordeste;Boleto
181;11/05/2024;Bola de Futebol;Esporte;145.31;3;Sr. Pietro Fonseca;Centro-Oeste;Pix
182;19/12/2023;Fone de Ouvido;Eletrônicos;499.88;1;Bella Lopes;Sul;Cartão de Débito
183;20/05/2024;Raquete de Tênis;Esporte;1639.56;2;Anna Liz da Paz;Sudeste;Cartão de Crédito
184;28/09/2023;Bicicleta Infantil;Brinquedos;705.68;4;Júlia da Costa;Centro-Oeste;Pix
185;05/06/2023;Camiseta;Vestuário;123.03;2;Stella Fonseca;Nordeste;Cartão de Crédito
186;26/04/2025;Jogo de Tabuleiro;Brinquedos;78.93;2;Henry Macedo;Sudeste;Boleto
187;04/08/2024;Guarda-roupa;Móveis;1747.17;3;Milena Pinto;Nordeste;Cartão de Crédito
188;10/03/2025;Vestido;Vestuário;146.89;2;Isaque Sales;Nordeste;Cartão de Débito
189;10/02/2024;Micro-ondas;Eletrodomésticos;1294.89;5;Lívia Costela;Norte;Dinheiro
190;13/05/2025;Liquidificador;Eletrodomésticos;444.52;3;Srta. Sabrina Moura;Centro-Oeste;Dinheiro
191;10/05/2024;Impressora;Eletrônicos;415.07;4;Lívia Mendes;Sudeste;Pix
192;02/01/2025;Skate;Esporte;331.84;5;Srta. Vitória Rios;Sudeste;Pix
193;24/05/2025;Micro-ondas;Eletrodomésticos;1254.04;5;Lorenzo Jesus;Sul;Cartão de Crédito
194;27/04/2025;Impressora;Eletrônicos;848.42;5;Isabela Câmara;Norte;Pix
195;01/02/2025;Bola de Futebol;Esporte;160.45;2;Otávio Sá;Centro-Oeste;Pix
196;10/11/2024;Raquete de Tênis;Esporte;656.2;2;Lavínia Silveira;Nordeste;Cartão de Crédito
197;26/04/2023;Tênis;Vestuário;291.25;5;Juan Dias;Centro-Oeste;Pix
198;30/03/2024;Smartphone;Eletrônicos;3304.22;5;Lavínia Rodrigues;Nordeste;Pix
199;27/11/2024;Camiseta;Vestuário;126.47;4;Liz Rezende;Sudeste;Dinheiro
200;29/04/2023;Sofá;Móveis;2386.83;5;Antônio Ramos;Centro-Oeste;Dinheiro
201;29/01/2024;Micro-ondas;Eletrodomésticos;666.24;2;Antony Freitas;Sudeste;Boleto
202;14/02/2025;Impressora;Eletrônicos;754.42;5;Alícia Fernandes;Centro-Oeste;Cartão de Crédito
203;10/09/2024;Máquina de Lavar;Eletrodomésticos;1736.19;3;Anthony Gabriel Moreira;Sul;Cartão de Crédito
204;28/01/2024;Cômoda;Móveis;1558.98;2;Valentina Freitas;Sudeste;Boleto
205;06/05/2025;Cômoda;Móveis;742.67;3;Noah Mendes;Sudeste;Dinheiro
206;11/02/2024;Liquidificador;Eletrodomésticos;470.62;2;Levi Sousa;Centro-Oeste;Cartão de Débito
207;18/04/2023;Bicicleta Infantil;Brinquedos;634.09;1;Maitê Melo;Sudeste;Cartão de Débito
208;17/05/2024;Bola de Futebol;Esporte;111.59;5;Maysa Mendes;Norte;Cartão de Crédito
209;07/08/2024;Tablet;Eletrônicos;1172.11;3;Rafael Machado;Sul;Dinheiro
210;21/12/2024;Geladeira;Eletrodomésticos;2243.26;4;Sophie Borges;Centro-Oeste;Dinheiro
211;03/03/2025;Bola de Futebol;Esporte;143.5;2;Dra. Juliana Albuquerque;Norte;Boleto
212;01/03/2025;Raquete de Tênis;Esporte;1003.01;3;Dra. Maria Julia Casa Grande;Sul;Cartão de Débito
213;16/06/2023;Máquina de Lavar;Eletrodomésticos;1195.75;4;Beatriz Pimenta;Centro-Oeste;Pix
214;17/10/2023;Máquina de Lavar;Eletrodomésticos;1757.29;4;João Lucas Abreu;Sul;Boleto
215;26/04/2025;Raquete de Tênis;Esporte;1413.81;1;Carlos Eduardo Campos;Nordeste;Dinheiro
216;19/11/2024;Guarda-roupa;Móveis;1027.73;3;Maria da Mata;Sudeste;Boleto
217;24/03/2023;Smartphone;Eletrônicos;3219.99;2;Pedro Henrique da Luz;Sul;Pix
218;28/01/2025;Tablet;Eletrônicos;1761.68;2;Guilherme Albuquerque;Nordeste;Boleto
219;25/04/2025;Estante;Móveis;1009.99;1;Anthony Camargo;Norte;Pix
220;28/06/2023;Fone de Ouvido;Eletrônicos;182.19;4;Erick Fogaça;Centro-Oeste;Pix
221;05/04/2024;Casaco;Vestuário;204.95;2;Milena Machado;Norte;Pix
222;22/06/2024;Fogão;Eletrodomésticos;2678.48;1;Otávio Albuquerque;Sul;Cartão de Débito
223;30/12/2024;Máquina de Lavar;Eletrodomésticos;3414.25;2;Thales Campos;Norte;Cartão de Crédito
224;15/04/2024;Ar-condicionado;Eletrodomésticos;3391.82;3;Srta. Alana Cavalcanti;Centro-Oeste;Pix
225;06/11/2023;Calça Jeans;Vestuário;101.79;4;Sofia Sales;Centro-Oeste;Cartão de Débito
226;04/08/2024;Fogão;Eletrodomésticos;2758.98;3;Cauã Dias;Norte;Cartão de Débito
227;10/03/2023;Ar-condicionado;Eletrodomésticos;2517.15;1;Manuella da Cunha;Norte;Cartão de Débito
228;10/02/2024;Casaco;Vestuário;210.47;4;Letícia Brito;Sul;Dinheiro
229;26/09/2023;Fogão;Eletrodomésticos;2903.45;2;Benjamin Pereira;Centro-Oeste;Boleto
230;20/05/2023;Casaco;Vestuário;92.37;3;Ana Luiza Fernandes;Norte;Cartão de Débito
231;19/04/2023;Estante;Móveis;1521.85;2;Maria Liz Machado;Nordeste;Dinheiro
232;14/07/2024;Guarda-roupa;Móveis;2472.92;4;Lucca Albuquerque;Nordeste;Boleto
233;12/04/2025;Sofá;Móveis;2263.29;5;Apollo da Cunha;Sudeste;Cartão de Crédito
234;14/07/2024;Skate;Esporte;598.09;4;Pedro Lucas da Rosa;Nordeste;Cartão de Débito
235;18/01/2025;Monitor;Eletrônicos;1843.42;4;Luiz Otávio Martins;Sul;Cartão de Crédito
236;29/08/2024;Mesa;Móveis;1126.22;3;Sr. Vitor Hugo Alves;Sul;Cartão de Crédito
237;31/01/2024;Carrinho;Brinquedos;44.12;3;Oliver Castro;Centro-Oeste;Boleto
238;30/12/2023;Ar-condicionado;Eletrodomésticos;2919.35;4;Evelyn Costa;Centro-Oeste;Cartão de Débito
239;05/10/2023;Tablet;Eletrônicos;825.42;2;Olivia Vieira;Centro-Oeste;Cartão de Débito
240;12/02/2023;Raquete de Tênis;Esporte;1764.5;4;Marcela Monteiro;Nordeste;Cartão de Débito
241;09/08/2023;Mesa;Móveis;1173.95;5;Carlos Eduardo da Cruz;Sudeste;Boleto
242;27/12/2023;Tênis;Vestuário;286.65;5;Daniela Sampaio;Centro-Oeste;Cartão de Débito
243;30/01/2024;Raquete de Tênis;Esporte;1614.19;3;Benjamim Vieira;Sul;Cartão de Crédito
244;06/12/2024;Vestido;Vestuário;106.34;4;Ana Sophia Carvalho;Centro-Oeste;Dinheiro
245;04/11/2023;Micro-ondas;Eletrodomésticos;1332.92;2;Heitor Sousa;Nordeste;Cartão de Crédito
246;12/01/2025;Monitor;Eletrônicos;1046.96;2;Luan Freitas;Nordeste;Pix
247;07/02/2023;Geladeira;Eletrodomésticos;1974.82;2;Hellena Silveira;Sul;Pix
248;03/08/2024;Casaco;Vestuário;137.62;1;Lorena Siqueira;Sudeste;Pix
249;29/01/2024;Estante;Móveis;1512.25;1;Sra. Eloah da Paz;Nordeste;Dinheiro
250;07/01/2023;Sofá;Móveis;2513.01;1;Ana Vitória Porto;Nordeste;Cartão de Crédito
251;17/10/2024;Mochila de Camping;Esporte;344.63;5;Luna Leão;Norte;Pix
252;14/10/2023;Geladeira;Eletrodomésticos;1745.73;4;Enrico da Mota;Norte;Boleto
253;11/08/2024;Casaco;Vestuário;237.78;3;Luiz Felipe Barros;Nordeste;Dinheiro
254;13/06/2024;Liquidificador;Eletrodomésticos;373.08;1;Laís da Rosa;Norte;Cartão de Crédito
255;19/07/2023;Fogão;Eletrodomésticos;2945.28;3;Olivia Duarte;Norte;Boleto
256;14/08/2024;Vestido;Vestuário;117.27;2;Arthur Pinto;Sul;Pix
257;25/03/2024;Calça Jeans;Vestuário;116.74;5;Luiz Miguel Nascimento;Sul;Cartão de Crédito
258;04/11/2024;Camiseta;Vestuário;159.27;4;Otávio Moreira;Centro-Oeste;Pix
259;26/05/2024;Carrinho;Brinquedos;40.2;2;Rafael da Cunha;Nordeste;Cartão de Crédito
260;04/06/2025;Tablet;Eletrônicos;1859.47;1;Lara Machado;Norte;Dinheiro
261;12/10/2024;Tablet;Eletrônicos;1193.41;4;Ravy Ferreira;Centro-Oeste;Dinheiro
262;05/03/2025;Casaco;Vestuário;211.57;3;Isabela Sampaio;Centro-Oeste;Cartão de Crédito
263;14/04/2023;Tablet;Eletrônicos;886.06;5;Evelyn Lima;Nordeste;Boleto
264;14/04/2024;Fone de Ouvido;Eletrônicos;248.93;3;Eduardo Pereira;Sudeste;Dinheiro
265;02/11/2023;Mochila de Camping;Esporte;92.72;1;Lucas Nunes;Norte;Pix
